date,serial_number,model,capacity_bytes,failure,smart_1_raw,smart_4_raw,smart_5_raw,smart_7_raw,smart_9_raw,smart_12_raw,smart_187_raw,smart_188_raw,smart_190_raw,smart_191_raw,smart_192_raw,smart_193_raw,smart_194_raw,smart_195_raw,smart_197_raw,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
2023-01-10,ZA12JTE7,ST8000DM002,8001563222016,0,127322960.0,41.0,0.0,3564891597.0,56488.0,41.0,0.0,0.0,41.0,20021.0,25.0,29891.0,41.0,127322960.0,0.0,0.0,0.0,56409.0,102368652088.0,468908907868.0
2023-01-10,ZA12JTE9,ST8000DM002,8001563222016,0,169263416.0,25.0,0.0,2042888169.0,56707.0,26.0,0.0,0.0,41.0,22436.0,12.0,62784.0,41.0,169263416.0,0.0,0.0,0.0,56640.0,101794653784.0,433476670382.0
2023-01-10,ZA12JTEA,ST8000DM002,8001563222016,0,47829744.0,5.0,0.0,4067398447.0,56486.0,5.0,0.0,0.0,31.0,17009.0,5.0,31863.0,31.0,47829744.0,0.0,0.0,0.0,56421.0,100934777112.0,482679230982.0
2023-01-10,ZA12JTEB,ST8000DM002,8001563222016,0,58571056.0,24.0,64.0,2755849850.0,56707.0,26.0,0.0,0.0,40.0,50373.0,10.0,61972.0,40.0,58571056.0,0.0,0.0,0.0,56640.0,101858123880.0,430562728265.0
2023-01-10,ZA12JTED,ST8000DM002,8001563222016,0,88467088.0,32.0,40.0,4039651729.0,56696.0,32.0,3.0,0.0,48.0,52641.0,11.0,60807.0,48.0,88467088.0,0.0,0.0,0.0,56620.0,105410694448.0,433750145436.0
2023-01-10,ZA12JTEE,ST8000DM002,8001563222016,0,210133976.0,24.0,0.0,2704531330.0,56713.0,24.0,0.0,0.0,32.0,19356.0,15.0,60602.0,32.0,210133976.0,0.0,0.0,0.0,56643.0,105109893856.0,408741095726.0
2023-01-10,ZA12JTEF,ST8000DM002,8001563222016,0,202598472.0,26.0,0.0,3816934092.0,56699.0,26.0,0.0,0.0,41.0,29765.0,13.0,68727.0,41.0,202598472.0,0.0,0.0,0.0,56624.0,105373500160.0,436551039796.0
2023-01-10,ZA12JTEG,ST8000DM002,8001563222016,0,228105520.0,24.0,16.0,3644560615.0,56708.0,24.0,0.0,0.0,39.0,21903.0,10.0,63200.0,39.0,228105520.0,0.0,0.0,0.0,56640.0,104802220032.0,472933225704.0
2023-01-10,ZA12JTEH,ST8000DM002,8001563222016,0,168233472.0,18.0,24.0,1938409593.0,56711.0,18.0,7.0,0.0,46.0,49405.0,16.0,50847.0,46.0,168233472.0,0.0,0.0,0.0,56348.0,104007364520.0,430016293194.0
2023-01-10,ZA12JTEL,ST8000DM002,8001563222016,0,10078344.0,19.0,0.0,3418487188.0,56705.0,19.0,6.0,0.0,40.0,17939.0,8.0,62378.0,40.0,10078344.0,0.0,0.0,0.0,56637.0,104767638576.0,499324635914.0
2023-01-10,ZA12JTEM,ST8000DM002,8001563222016,0,180229520.0,24.0,592.0,3518227875.0,56704.0,24.0,0.0,0.0,37.0,41913.0,11.0,55940.0,37.0,180229520.0,0.0,0.0,0.0,56638.0,103442450056.0,438970124408.0
2023-01-10,ZA12JTEN,ST8000DM002,8001563222016,0,163460784.0,33.0,0.0,3550075485.0,56688.0,33.0,0.0,0.0,42.0,59242.0,13.0,61572.0,42.0,163460784.0,0.0,0.0,0.0,56622.0,104140871064.0,499509592340.0
2023-01-10,ZA12JTEP,ST8000DM002,8001563222016,0,92804008.0,20.0,0.0,2953890381.0,56712.0,20.0,0.0,0.0,32.0,23534.0,8.0,65249.0,32.0,92804008.0,0.0,0.0,0.0,56643.0,106417268392.0,427314630778.0
2023-01-10,ZA12JTEQ,ST8000DM002,8001563222016,0,237602624.0,24.0,8.0,3072515647.0,56705.0,24.0,0.0,0.0,36.0,20380.0,11.0,52954.0,36.0,237602624.0,0.0,0.0,0.0,56641.0,105432393400.0,438815591104.0
2023-01-10,ZA12JTES,ST8000DM002,8001563222016,0,152804088.0,9.0,0.0,4016135108.0,56441.0,9.0,0.0,0.0,29.0,24658.0,7.0,28366.0,29.0,152804088.0,0.0,0.0,0.0,56379.0,101973279416.0,461409039840.0
2023-01-10,ZA12JTEV,ST8000DM002,8001563222016,0,6139752.0,18.0,0.0,3007121602.0,56705.0,18.0,0.0,0.0,41.0,31883.0,5.0,66939.0,41.0,6139752.0,0.0,0.0,0.0,56638.0,105400053256.0,430342188858.0
2023-01-10,ZA12JTEX,ST8000DM002,8001563222016,0,39037264.0,25.0,0.0,3766820112.0,56703.0,25.0,0.0,0.0,38.0,16212.0,12.0,70432.0,38.0,39037264.0,0.0,0.0,0.0,56635.0,105083563296.0,423638252845.0
2023-01-10,ZA12JTEY,ST8000DM002,8001563222016,0,137263520.0,33.0,25632.0,3854699134.0,56693.0,33.0,801.0,0.0,46.0,21368.0,13.0,58572.0,46.0,137263520.0,0.0,0.0,0.0,56383.0,105663468544.0,471807454692.0
2023-01-10,ZA12JTEZ,ST8000DM002,8001563222016,0,134152672.0,26.0,0.0,3605822714.0,56713.0,26.0,0.0,0.0,37.0,23845.0,13.0,56410.0,37.0,134152672.0,0.0,0.0,0.0,56638.0,105026377536.0,457198468676.0
2023-01-10,ZA12JTF0,ST8000DM002,8001563222016,0,11850712.0,8.0,0.0,3876684846.0,56485.0,8.0,0.0,0.0,26.0,15545.0,4.0,31641.0,26.0,11850712.0,0.0,0.0,0.0,56419.0,100171295272.0,504645356272.0
2023-01-10,ZA12JTF1,ST8000DM002,8001563222016,0,84970864.0,41.0,0.0,2215494834.0,56488.0,41.0,0.0,0.0,41.0,19397.0,25.0,20319.0,41.0,84970864.0,0.0,0.0,0.0,56412.0,102732882528.0,473382114548.0
2023-01-10,ZA12JTF3,ST8000DM002,8001563222016,0,134028920.0,12.0,0.0,3541809243.0,56695.0,12.0,0.0,0.0,32.0,17107.0,6.0,70048.0,32.0,134028920.0,0.0,0.0,0.0,56611.0,105155624384.0,410118403420.0
2023-01-10,ZA12JTF4,ST8000DM002,8001563222016,0,27522576.0,16.0,8.0,2666365903.0,55035.0,16.0,0.0,0.0,45.0,10958.0,4.0,68481.0,45.0,27522576.0,0.0,0.0,0.0,54976.0,103108589720.0,419440340888.0
2023-01-10,ZA12JTF5,ST8000DM002,8001563222016,0,43053864.0,41.0,0.0,4033938033.0,56707.0,41.0,0.0,0.0,36.0,19059.0,12.0,61854.0,36.0,43053864.0,0.0,0.0,0.0,56624.0,104669729240.0,423510765624.0
2023-01-10,ZA12JTF6,ST8000DM002,8001563222016,0,33961776.0,5.0,0.0,2942651797.0,55036.0,5.0,0.0,0.0,31.0,20647.0,2.0,62952.0,31.0,33961776.0,0.0,0.0,0.0,54968.0,103604354856.0,406814749392.0
2023-01-10,ZA12JTF8,ST8000DM002,8001563222016,0,52026040.0,41.0,0.0,56080450.0,56708.0,41.0,6.0,0.0,38.0,33194.0,13.0,62850.0,38.0,52026040.0,8.0,8.0,0.0,56631.0,105472460800.0,430124973912.0
